state,x,y
Andhra Pradesh,-64.0,-148.0
Arunachal Pradesh,231.0,157.0
Assam,191.0,113.0
Bihar,68.0,92.0
Chhattisgarh,-8.0,2.0
Goa,-175.0,-140.0
Gujarat,-223.0,33.0
Haryana,-124.0,165.0
Himachal Pradesh,-105.0,222.0
Jharkhand,52.0,41.0
Karnataka,-152.0,-160.0
Kerala,-140.0,-248.0
Madhya Pradesh,-90.0,31.0
Maharashtra,-146.0,-49.0
Manipur,230.0,76.0
Meghalaya,169.0,93.0
Mizoram,208.0,40.0
Nagaland,242.0,113.0
Odisha,43.0,-26.0
Punjab,-145.0,203.0
Rajasthan,-182.0,112.0
Sikkim,118.0,135.0
Tamil Nadu,-93.0,-293.0
Telangana,-69.0,-91.0
Tripura,186.0,51.0
Uttarakhand,-65.0,188.0
Uttar Pradesh,-34.0,116.0
West Bengal,105.0,35.0
Andaman And Nicobar Islands,231.0,-189.0
Delhi,-107.0,142.0
Jammu And Kashmir,-122.0,273.0
Lakshadweep,-210.0,-240.0
